Date,Start,Visitor/Neutral,Home/Neutral
Wed Dec 15 2021,10:00p,Washington Wizards,Sacramento Kings
Wed Dec 15 2021,10:00p,Los Angeles Clippers,Utah Jazz
Thu Dec 16 2021,7:00p,Detroit Pistons,Indiana Pacers
Thu Dec 16 2021,7:30p,Philadelphia 76ers,Brooklyn Nets
Thu Dec 16 2021,7:30p,Chicago Bulls,Toronto Raptors
Thu Dec 16 2021,8:00p,New York Knicks,Houston Rockets
Thu Dec 16 2021,9:00p,Washington Wizards,Phoenix Suns
Fri Dec 17 2021,7:00p,Miami Heat,Orlando Magic
Fri Dec 17 2021,7:30p,Denver Nuggets,Atlanta Hawks
Fri Dec 17 2021,7:30p,Golden State Warriors,Boston Celtics
Fri Dec 17 2021,8:00p,Los Angeles Lakers,Minnesota Timberwolves
Fri Dec 17 2021,9:00p,San Antonio Spurs,Utah Jazz
Fri Dec 17 2021,10:00p,Milwaukee Bucks,New Orleans Pelicans
Fri Dec 17 2021,10:00p,Charlotte Hornets,Portland Trail Blazers
Fri Dec 17 2021,10:00p,Memphis Grizzlies,Sacramento Kings
Sat Dec 18 2021,12:00p,Houston Rockets,Detroit Pistons
Sat Dec 18 2021,7:30p,Orlando Magic,Brooklyn Nets
Sat Dec 18 2021,7:30p,Golden State Warriors,Toronto Raptors
Sat Dec 18 2021,8:00p,Los Angeles Clippers,Oklahoma City Thunder
Sat Dec 18 2021,8:30p,New York Knicks,Boston Celtics
Sat Dec 18 2021,9:00p,Cleveland Cavaliers,Milwaukee Bucks
Sat Dec 18 2021,9:00p,Washington Wizards,Utah Jazz
Sun Dec 19 2021,3:30p,Los Angeles Lakers,Chicago Bulls
Sun Dec 19 2021,6:00p,Miami Heat,Detroit Pistons
Sun Dec 19 2021,6:00p,Portland Trail Blazers,Memphis Grizzlies
Sun Dec 19 2021,6:00p,San Antonio Spurs,Sacramento Kings
Sun Dec 19 2021,7:30p,Cleveland Cavaliers,Atlanta Hawks
Sun Dec 19 2021,7:30p,Denver Nuggets,Brooklyn Nets
Sun Dec 19 2021,8:00p,Dallas Mavericks,Minnesota Timberwolves
Sun Dec 19 2021,8:00p,New Orleans Pelicans,Philadelphia 76ers
Sun Dec 19 2021,8:00p,Charlotte Hornets,Phoenix Suns
Mon Dec 20 2021,7:30p,Philadelphia 76ers,Boston Celtics
Mon Dec 20 2021,7:30p,Orlando Magic,Toronto Raptors
Mon Dec 20 2021,8:00p,Houston Rockets,Chicago Bulls
Mon Dec 20 2021,8:00p,Oklahoma City Thunder,Memphis Grizzlies
Mon Dec 20 2021,9:00p,Charlotte Hornets,Utah Jazz
Mon Dec 20 2021,10:00p,Sacramento Kings,Golden State Warriors
Mon Dec 20 2021,10:30p,San Antonio Spurs,Los Angeles Clippers
Tue Dec 21 2021,7:30p,Washington Wizards,Brooklyn Nets
Tue Dec 21 2021,7:30p,Indiana Pacers,Miami Heat
Tue Dec 21 2021,7:30p,Detroit Pistons,New York Knicks
Tue Dec 21 2021,8:00p,Portland Trail Blazers,New Orleans Pelicans
Tue Dec 21 2021,8:30p,Minnesota Timberwolves,Dallas Mavericks
Tue Dec 21 2021,10:00p,Phoenix Suns,Los Angeles Lakers
Wed Dec 22 2021,7:30p,Orlando Magic,Atlanta Hawks
Wed Dec 22 2021,7:30p,Cleveland Cavaliers,Boston Celtics
Wed Dec 22 2021,8:00p,Toronto Raptors,Chicago Bulls
Wed Dec 22 2021,8:00p,Houston Rockets,Milwaukee Bucks
Wed Dec 22 2021,8:00p,Denver Nuggets,Oklahoma City Thunder
Wed Dec 22 2021,10:00p,Los Angeles Clippers,Sacramento Kings
Thu Dec 23 2021,7:00p,Houston Rockets,Indiana Pacers
Thu Dec 23 2021,7:00p,New Orleans Pelicans,Orlando Magic
Thu Dec 23 2021,7:00p,Atlanta Hawks,Philadelphia 76ers
Thu Dec 23 2021,7:30p,Detroit Pistons,Miami Heat
Thu Dec 23 2021,7:30p,Washington Wizards,New York Knicks
Thu Dec 23 2021,8:30p,Milwaukee Bucks,Dallas Mavericks
Thu Dec 23 2021,9:00p,Charlotte Hornets,Denver Nuggets
Thu Dec 23 2021,9:00p,Oklahoma City Thunder,Phoenix Suns
Thu Dec 23 2021,9:00p,Minnesota Timberwolves,Utah Jazz
Thu Dec 23 2021,10:00p,Memphis Grizzlies,Golden State Warriors
Thu Dec 23 2021,10:00p,Brooklyn Nets,Portland Trail Blazers
Thu Dec 23 2021,10:30p,San Antonio Spurs,Los Angeles Lakers
Sat Dec 25 2021,12:00p,Atlanta Hawks,New York Knicks
Sat Dec 25 2021,2:30p,Boston Celtics,Milwaukee Bucks
Sat Dec 25 2021,5:00p,Golden State Warriors,Phoenix Suns
Sat Dec 25 2021,8:00p,Brooklyn Nets,Los Angeles Lakers
Sat Dec 25 2021,10:30p,Dallas Mavericks,Utah Jazz
Sun Dec 26 2021,3:30p,Orlando Magic,Miami Heat
Sun Dec 26 2021,6:00p,Toronto Raptors,Cleveland Cavaliers
Sun Dec 26 2021,6:00p,Memphis Grizzlies,Sacramento Kings
Sun Dec 26 2021,6:00p,Philadelphia 76ers,Washington Wizards
Sun Dec 26 2021,7:00p,New Orleans Pelicans,Oklahoma City Thunder
Sun Dec 26 2021,7:00p,Detroit Pistons,San Antonio Spurs
Sun Dec 26 2021,8:00p,Indiana Pacers,Chicago Bulls
Sun Dec 26 2021,9:00p,Denver Nuggets,Los Angeles Clippers
Mon Dec 27 2021,7:00p,Houston Rockets,Charlotte Hornets
Mon Dec 27 2021,7:30p,Chicago Bulls,Atlanta Hawks
Mon Dec 27 2021,8:00p,Boston Celtics,Minnesota Timberwolves
Mon Dec 27 2021,8:30p,Utah Jazz,San Antonio Spurs
Mon Dec 27 2021,9:00p,Memphis Grizzlies,Phoenix Suns
