gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2015/11/01,07:00,Indiana Pacers,Utah Jazz,1.66,2.30,1.62,2.40,58.08,41.92,59.70,40.30,96.41,96.71,0.96,0.98,0.90,0.90,190,0.90,0.90,193.5,http://nba.win007.com/1x2/oddslist/218744.htm
2015/11/01,07:30,New Orleans Pelicans,Golden State Warriors,2.70,1.50,2.90,1.43,35.71,64.29,33.03,66.97,96.42,95.79,0.99,0.94,0.90,0.90,212.5,0.90,0.90,211.5,http://nba.win007.com/1x2/oddslist/218745.htm
2015/11/01,08:00,Memphis Grizzlies,Brooklyn Nets,1.07,9.00,1.09,8.00,89.37,10.63,88.01,11.99,95.63,95.93,0.96,0.96,0.90,0.90,191.5,0.90,0.90,192.5,http://nba.win007.com/1x2/oddslist/218746.htm
2015/11/01,10:00,Portland Trail Blazers,Phoenix Suns,1.71,2.20,1.80,2.05,56.27,43.73,53.25,46.75,96.22,95.85,0.99,0.92,0.90,0.90,204,0.90,0.90,204,http://nba.win007.com/1x2/oddslist/218747.htm
2015/11/01,10:30,Los Angeles Clippers,Sacramento Kings,1.14,6.00,1.15,5.75,84.03,15.97,83.33,16.67,95.79,95.83,0.95,0.98,0.90,0.90,215.5,0.90,0.90,216.5,http://nba.win007.com/1x2/oddslist/218748.htm
2015/11/02,03:00,Charlotte Hornets,Atlanta Hawks,2.00,1.83,2.15,1.74,47.78,52.22,44.73,55.27,95.56,96.17,0.99,0.94,0.90,0.90,193,0.90,0.90,195,http://nba.win007.com/1x2/oddslist/218749.htm
2015/11/02,04:30,Boston Celtics,San Antonio Spurs,3.00,1.41,3.10,1.40,31.97,68.03,31.11,68.89,95.91,96.44,0.99,0.95,0.90,0.90,202,0.90,0.90,202.5,http://nba.win007.com/1x2/oddslist/218750.htm
2015/11/02,07:00,Toronto Raptors,Milwaukee Bucks,1.33,3.40,1.40,3.10,71.88,28.12,68.89,31.11,95.60,96.45,0.97,0.96,0.90,0.90,203,0.90,0.90,200.5,http://nba.win007.com/1x2/oddslist/218751.htm
2015/11/02,07:00,Miami Heat,Houston Rockets,1.71,2.20,1.58,2.50,56.27,43.73,61.27,38.73,96.22,96.81,0.96,0.98,0.90,0.90,206,0.90,0.90,207.5,http://nba.win007.com/1x2/oddslist/218752.htm
2015/11/02,08:00,Chicago Bulls,Orlando Magic,1.29,3.70,1.26,4.00,74.15,25.85,76.05,23.95,95.65,95.82,0.95,1.00,0.90,0.90,200,0.90,0.90,199,http://nba.win007.com/1x2/oddslist/218753.htm
2015/11/02,08:00,Oklahoma City Thunder,Denver Nuggets,1.10,7.50,1.07,9.00,87.21,12.79,89.37,10.63,95.93,95.63,0.94,1.08,0.90,0.90,211,0.90,0.90,213,http://nba.win007.com/1x2/oddslist/218754.htm
2015/11/02,10:30,Los Angeles Lakers,Dallas Mavericks,2.50,1.58,2.60,1.55,38.73,61.27,37.35,62.65,96.82,97.11,0.99,0.96,0.90,0.90,212.5,0.90,0.90,212.5,http://nba.win007.com/1x2/oddslist/218755.htm
2015/11/03,08:00,Philadelphia 76ers,Cleveland Cavaliers,11.00,1.05,9.00,1.07,8.71,91.29,10.63,89.37,95.81,95.67,0.99,0.95,0.90,0.90,195,0.90,0.90,195,http://nba.win007.com/1x2/oddslist/218756.htm
2015/11/03,08:30,New York Knicks,San Antonio Spurs,3.60,1.31,3.75,1.28,26.68,73.32,25.45,74.55,96.05,95.44,0.98,0.95,0.90,0.90,204,0.90,0.90,203,http://nba.win007.com/1x2/oddslist/218757.htm
2015/11/03,08:30,Brooklyn Nets,Milwaukee Bucks,1.83,2.00,2.00,1.83,52.22,47.78,47.78,52.22,95.56,95.56,1.00,0.92,0.90,0.90,197,0.90,0.90,194,http://nba.win007.com/1x2/oddslist/218758.htm
2015/11/03,09:00,Minnesota Timberwolves,Portland Trail Blazers,1.44,2.85,1.57,2.55,66.43,33.57,61.89,38.11,95.66,97.17,0.97,0.97,0.90,0.90,202,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/218759.htm
2015/11/03,09:00,Houston Rockets,Oklahoma City Thunder,2.40,1.62,2.65,1.54,40.30,59.70,36.75,63.25,96.72,97.39,1.01,0.95,0.90,0.90,214,0.90,0.90,217,http://nba.win007.com/1x2/oddslist/218760.htm
2015/11/03,11:30,Los Angeles Clippers,Phoenix Suns,1.22,4.50,,,78.67,21.33,,,95.98,,0.96,0.95,0.90,0.90,212,0.90,0.90,207.5,http://nba.win007.com/1x2/oddslist/218761.htm
2015/11/03,11:30,Golden State Warriors,Memphis Grizzlies,1.25,4.20,1.20,4.75,77.06,22.94,79.83,20.17,96.32,95.80,0.95,1.00,0.90,0.90,201,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/218762.htm
2015/11/04,08:00,Charlotte Hornets,Chicago Bulls,2.50,1.58,2.55,1.57,38.73,61.27,38.11,61.89,96.82,97.18,0.99,0.96,0.90,0.90,193,0.90,0.90,194,http://nba.win007.com/1x2/oddslist/218763.htm
2015/11/04,08:30,Detroit Pistons,Indiana Pacers,1.44,2.85,1.54,2.65,66.43,33.57,63.25,36.75,95.66,97.40,0.97,0.98,0.90,0.90,201.5,0.90,0.90,200.5,http://nba.win007.com/1x2/oddslist/218764.htm
2015/11/04,08:30,Miami Heat,Atlanta Hawks,1.58,2.50,1.57,2.55,61.27,38.73,61.89,38.11,96.81,97.17,0.96,0.99,0.90,0.90,196,0.90,0.90,197.5,http://nba.win007.com/1x2/oddslist/218765.htm
2015/11/04,09:00,New Orleans Pelicans,Orlando Magic,1.66,2.30,1.47,2.75,58.08,41.92,65.17,34.83,96.41,95.80,0.94,0.99,0.90,0.90,205,0.90,0.90,205.5,http://nba.win007.com/1x2/oddslist/218766.htm
2015/11/04,09:30,Dallas Mavericks,Toronto Raptors,2.05,1.80,2.15,1.74,46.75,53.25,44.73,55.27,95.84,96.17,0.99,0.94,0.90,0.90,204.5,0.90,0.90,205.5,http://nba.win007.com/1x2/oddslist/218767.htm
2015/11/04,11:00,Sacramento Kings,Memphis Grizzlies,2.67,1.52,2.65,1.54,36.28,63.72,36.75,63.25,96.87,97.39,1.01,0.95,0.90,0.90,198,0.90,0.90,197,http://nba.win007.com/1x2/oddslist/218768.htm
2015/11/04,11:30,Los Angeles Lakers,Denver Nuggets,1.95,1.86,1.71,2.20,48.82,51.18,56.27,43.73,95.20,96.22,0.91,1.03,0.90,0.90,208,0.90,0.90,203.5,http://nba.win007.com/1x2/oddslist/218769.htm
2015/11/05,08:00,Indiana Pacers,Boston Celtics,2.10,1.76,2.15,1.74,45.60,54.40,44.73,55.27,95.76,96.17,0.97,0.96,0.90,0.90,201,0.90,0.90,207,http://nba.win007.com/1x2/oddslist/218770.htm
2015/11/05,08:00,Washington Wizards,San Antonio Spurs,2.55,1.57,,,38.11,61.89,,,97.18,,0.97,0.97,0.90,0.90,202,0.90,0.90,201,http://nba.win007.com/1x2/oddslist/218771.htm
2015/11/05,09:00,Oklahoma City Thunder,Toronto Raptors,1.23,4.25,1.25,4.10,77.55,22.45,76.64,23.36,95.39,95.80,0.96,0.94,0.90,0.90,210.5,0.90,0.90,213,http://nba.win007.com/1x2/oddslist/218772.htm
2015/11/05,09:00,Milwaukee Bucks,Philadelphia 76ers,1.18,5.25,1.23,4.25,81.65,18.35,77.55,22.45,96.35,95.39,0.96,0.94,0.90,0.90,195,0.90,0.90,195,http://nba.win007.com/1x2/oddslist/218773.htm
2015/11/05,09:00,Atlanta Hawks,Brooklyn Nets,1.23,4.25,1.31,3.60,77.55,22.45,73.32,26.68,95.39,96.05,0.97,0.94,0.90,0.90,196.5,0.90,0.90,197.5,http://nba.win007.com/1x2/oddslist/218774.htm
2015/11/05,09:00,Cleveland Cavaliers,New York Knicks,1.19,5.00,1.14,6.00,80.78,19.22,84.03,15.97,96.13,95.79,0.95,1.02,0.90,0.90,201.5,0.90,0.90,205,http://nba.win007.com/1x2/oddslist/218775.htm
2015/11/05,09:00,Houston Rockets,Orlando Magic,1.23,4.25,1.20,4.75,77.55,22.45,79.83,20.17,95.39,95.80,0.94,1.05,0.90,0.90,208,0.90,0.90,207.5,http://nba.win007.com/1x2/oddslist/218776.htm
2015/11/05,10:00,Phoenix Suns,Sacramento Kings,1.22,4.50,1.18,5.25,78.67,21.33,81.65,18.35,95.98,96.35,0.94,1.05,0.90,0.90,207,0.90,0.90,209,http://nba.win007.com/1x2/oddslist/218777.htm
2015/11/05,10:00,Utah Jazz,Portland Trail Blazers,1.41,3.00,1.32,3.50,68.03,31.97,72.61,27.39,95.92,95.85,0.92,1.05,0.90,0.90,191,0.90,0.90,189.5,http://nba.win007.com/1x2/oddslist/218778.htm
2015/11/05,11:30,Golden State Warriors,Los Angeles Clippers,1.29,3.70,1.27,3.80,74.15,25.85,74.95,25.05,95.65,95.19,0.94,0.99,0.90,0.90,218,0.90,0.90,218.5,http://nba.win007.com/1x2/oddslist/218779.htm
2015/11/06,09:00,Minnesota Timberwolves,Miami Heat,2.50,1.58,2.65,1.54,38.73,61.27,36.75,63.25,96.82,97.39,1.01,0.95,1.00,0.83,198.5,0.90,0.90,197.5,http://nba.win007.com/1x2/oddslist/218780.htm
2015/11/06,09:00,Chicago Bulls,Oklahoma City Thunder,1.86,1.95,1.83,2.00,51.18,48.82,52.22,47.78,95.19,95.56,0.93,0.98,0.90,0.90,207,0.90,0.90,212,http://nba.win007.com/1x2/oddslist/218781.htm
2015/11/06,09:30,Dallas Mavericks,Charlotte Hornets,1.57,2.55,1.55,2.60,61.89,38.11,62.65,37.35,97.17,97.11,0.96,0.99,0.90,0.90,197,0.90,0.90,201.5,http://nba.win007.com/1x2/oddslist/218782.htm
2015/11/06,10:00,Denver Nuggets,Utah Jazz,2.05,1.80,2.30,1.66,46.75,53.25,41.92,58.08,95.84,96.42,0.99,0.95,0.90,0.90,192,0.90,0.90,191,http://nba.win007.com/1x2/oddslist/218783.htm
2015/11/06,11:30,Portland Trail Blazers,Memphis Grizzlies,2.60,1.55,2.65,1.54,37.35,62.65,36.75,63.25,97.11,97.39,1.03,0.94,0.90,0.90,194,0.90,0.90,193.5,http://nba.win007.com/1x2/oddslist/218784.htm
2015/11/07,08:00,Orlando Magic,Toronto Raptors,3.00,1.41,2.95,1.42,31.97,68.03,32.49,67.51,95.91,95.85,0.94,0.97,0.90,0.90,202,0.90,0.90,196.5,http://nba.win007.com/1x2/oddslist/218785.htm
2015/11/07,08:30,Boston Celtics,Washington Wizards,1.95,1.86,1.80,2.05,48.82,51.18,53.25,46.75,95.20,95.85,0.94,0.98,0.90,0.90,209,0.90,0.90,210,http://nba.win007.com/1x2/oddslist/218786.htm
2015/11/07,08:30,Cleveland Cavaliers,Philadelphia 76ers,1.04,13.50,1.05,12.00,92.85,7.15,91.95,8.05,96.56,96.55,0.96,1.08,0.90,0.90,193.5,0.90,0.90,196,http://nba.win007.com/1x2/oddslist/218787.htm
2015/11/07,08:30,Brooklyn Nets,Los Angeles Lakers,1.60,2.45,1.64,2.35,60.49,39.51,58.90,41.10,96.78,96.60,0.97,0.96,0.90,0.90,207,0.90,0.90,207.5,http://nba.win007.com/1x2/oddslist/218788.htm
2015/11/07,08:30,New York Knicks,Milwaukee Bucks,1.76,2.10,1.80,2.05,54.40,45.60,53.25,46.75,95.74,95.85,0.97,0.94,0.90,0.90,198.5,0.90,0.90,196.5,http://nba.win007.com/1x2/oddslist/218789.htm
2015/11/07,09:00,Indiana Pacers,Miami Heat,1.95,1.86,,,48.82,51.18,,,95.20,,0.96,0.95,1.00,0.83,198,0.90,0.90,195,http://nba.win007.com/1x2/oddslist/218790.htm
